from_year,to_year,from_seccion,from_seccion_nombre,to_seccion,to_seccion_nombre,count
2011,2013,20,SAN JUSTO,13,RIO CUARTO,151
2011,2013,23,TERCERO ARRIBA,13,RIO CUARTO,150
2011,2013,6,GRAL SAN MARTIN,12,PUNILLA,149
2011,2013,3,COLON,13,RIO CUARTO,148
2011,2013,7,ISCHILIN,3,COLON,146
2011,2013,13,RIO CUARTO,20,SAN JUSTO,145
2011,2013,14,RIO PRIMERO,20,SAN JUSTO,145
2011,2013,23,TERCERO ARRIBA,16,RIO SEGUNDO,140
2011,2013,4,CRUZ DEL EJE,3,COLON,140
2011,2013,12,PUNILLA,6,GRAL SAN MARTIN,138
2011,2013,16,RIO SEGUNDO,3,COLON,138
2011,2013,12,PUNILLA,13,RIO CUARTO,136
2011,2013,13,RIO CUARTO,6,GRAL SAN MARTIN,135
2011,2013,21,SANTA MARIA,3,COLON,131
2011,2013,3,COLON,4,CRUZ DEL EJE,131
2011,2013,23,TERCERO ARRIBA,8,JUAREZ CELMAN,129
2011,2013,1,CAPITAL,10,MINAS,126
2011,2013,20,SAN JUSTO,14,RIO PRIMERO,125
2011,2013,11,POCHO,1,CAPITAL,124
2011,2013,3,COLON,14,RIO PRIMERO,124
2011,2013,9,MARCOS JUAREZ,6,GRAL SAN MARTIN,124
2011,2013,9,MARCOS JUAREZ,12,PUNILLA,122
2011,2013,3,COLON,16,RIO SEGUNDO,118
2011,2013,26,UNION,13,RIO CUARTO,117
2011,2013,16,RIO SEGUNDO,23,TERCERO ARRIBA,113
2011,2013,1,CAPITAL,15,RIO SECO,112
2011,2013,16,RIO SEGUNDO,14,RIO PRIMERO,109
2011,2013,7,ISCHILIN,4,CRUZ DEL EJE,109
2011,2013,16,RIO SEGUNDO,12,PUNILLA,108
2011,2013,21,SANTA MARIA,16,RIO SEGUNDO,107
2011,2013,6,GRAL SAN MARTIN,16,RIO SEGUNDO,107
2011,2013,1,CAPITAL,17,ROQUE SAENZ PEÑA,104
2011,2013,26,UNION,3,COLON,104
2011,2013,6,GRAL SAN MARTIN,8,JUAREZ CELMAN,104
2011,2013,21,SANTA MARIA,2,CALAMUCHITA,103
2011,2013,14,RIO PRIMERO,16,RIO SEGUNDO,99
2011,2013,13,RIO CUARTO,21,SANTA MARIA,98
2011,2013,6,GRAL SAN MARTIN,13,RIO CUARTO,98
2011,2013,13,RIO CUARTO,26,UNION,97
2011,2013,6,GRAL SAN MARTIN,20,SAN JUSTO,96
2011,2013,21,SANTA MARIA,13,RIO CUARTO,95
2011,2013,20,SAN JUSTO,21,SANTA MARIA,93
2011,2013,6,GRAL SAN MARTIN,3,COLON,92
2011,2013,2,CALAMUCHITA,21,SANTA MARIA,91
2011,2013,26,UNION,12,PUNILLA,91
2011,2013,13,RIO CUARTO,5,GENERAL ROCA,89
2011,2013,23,TERCERO ARRIBA,12,PUNILLA,89
2011,2013,9,MARCOS JUAREZ,3,COLON,88
2011,2013,23,TERCERO ARRIBA,3,COLON,87
2011,2013,9,MARCOS JUAREZ,13,RIO CUARTO,87
2011,2013,26,UNION,16,RIO SEGUNDO,86
2011,2013,4,CRUZ DEL EJE,7,ISCHILIN,85
2011,2013,13,RIO CUARTO,9,MARCOS JUAREZ,84
2011,2013,3,COLON,6,GRAL SAN MARTIN,84
2011,2013,3,COLON,7,ISCHILIN,83
2011,2013,8,JUAREZ CELMAN,23,TERCERO ARRIBA,82
2011,2013,1,CAPITAL,5,GENERAL ROCA,81
2011,2013,16,RIO SEGUNDO,21,SANTA MARIA,81
2011,2013,26,UNION,8,JUAREZ CELMAN,81
2011,2013,22,SOBREMONTE,1,CAPITAL,80
2011,2013,15,RIO SECO,3,COLON,78
2011,2013,12,PUNILLA,23,TERCERO ARRIBA,77
2011,2013,25,TULUMBA,7,ISCHILIN,77
2011,2013,12,PUNILLA,14,RIO PRIMERO,76
2011,2013,13,RIO CUARTO,17,ROQUE SAENZ PEÑA,76
2011,2013,12,PUNILLA,9,MARCOS JUAREZ,75
2011,2013,18,SAN ALBERTO,12,PUNILLA,75
2011,2013,10,MINAS,4,CRUZ DEL EJE,74
2011,2013,25,TULUMBA,3,COLON,71
2011,2013,3,COLON,23,TERCERO ARRIBA,71
2011,2013,3,COLON,26,UNION,71
2011,2013,14,RIO PRIMERO,12,PUNILLA,68
2011,2013,26,UNION,20,SAN JUSTO,68
2011,2013,23,TERCERO ARRIBA,21,SANTA MARIA,67
2011,2013,11,POCHO,18,SAN ALBERTO,66
2011,2013,12,PUNILLA,16,RIO SEGUNDO,66
2011,2013,7,ISCHILIN,12,PUNILLA,66
2011,2013,20,SAN JUSTO,9,MARCOS JUAREZ,65
2011,2013,21,SANTA MARIA,20,SAN JUSTO,65
2011,2013,9,MARCOS JUAREZ,20,SAN JUSTO,65
2011,2013,1,CAPITAL,11,POCHO,63
2011,2013,2,CALAMUCHITA,12,PUNILLA,62
2011,2013,19,SAN JAVIER,3,COLON,60
2011,2013,3,COLON,19,SAN JAVIER,58
2011,2013,12,PUNILLA,26,UNION,57
2011,2013,6,GRAL SAN MARTIN,9,MARCOS JUAREZ,57
2011,2013,16,RIO SEGUNDO,26,UNION,56
2011,2013,8,JUAREZ CELMAN,26,UNION,56
2011,2013,16,RIO SEGUNDO,13,RIO CUARTO,55
2011,2013,18,SAN ALBERTO,3,COLON,55
2011,2013,19,SAN JAVIER,12,PUNILLA,55
2011,2013,3,COLON,9,MARCOS JUAREZ,55
2011,2013,5,GENERAL ROCA,17,ROQUE SAENZ PEÑA,55
2011,2013,11,POCHO,19,SAN JAVIER,54
2011,2013,2,CALAMUCHITA,3,COLON,54
2011,2013,12,PUNILLA,19,SAN JAVIER,53
2011,2013,20,SAN JUSTO,23,TERCERO ARRIBA,53
2011,2013,19,SAN JAVIER,13,RIO CUARTO,52
2011,2013,23,TERCERO ARRIBA,20,SAN JUSTO,52
2011,2013,17,ROQUE SAENZ PEÑA,5,GENERAL ROCA,51
2011,2013,23,TERCERO ARRIBA,26,UNION,51
2011,2013,10,MINAS,12,PUNILLA,50
2011,2013,13,RIO CUARTO,19,SAN JAVIER,50
2011,2013,26,UNION,23,TERCERO ARRIBA,50
2011,2013,3,COLON,2,CALAMUCHITA,49
2011,2013,9,MARCOS JUAREZ,23,TERCERO ARRIBA,49
2011,2013,12,PUNILLA,18,SAN ALBERTO,48
2011,2013,12,PUNILLA,7,ISCHILIN,48
2011,2013,13,RIO CUARTO,16,RIO SEGUNDO,48
2011,2013,9,MARCOS JUAREZ,16,RIO SEGUNDO,48
2011,2013,2,CALAMUCHITA,6,GRAL SAN MARTIN,47
2011,2013,14,RIO PRIMERO,24,TOTORAL,46
2011,2013,21,SANTA MARIA,23,TERCERO ARRIBA,45
2011,2013,3,COLON,25,TULUMBA,45
2011,2013,7,ISCHILIN,24,TOTORAL,45
2011,2013,7,ISCHILIN,25,TULUMBA,45
2011,2013,12,PUNILLA,2,CALAMUCHITA,44
2011,2013,23,TERCERO ARRIBA,9,MARCOS JUAREZ,43
2011,2013,26,UNION,2,CALAMUCHITA,43
2011,2013,3,COLON,18,SAN ALBERTO,43
2011,2013,16,RIO SEGUNDO,9,MARCOS JUAREZ,41
2011,2013,8,JUAREZ CELMAN,17,ROQUE SAENZ PEÑA,41
2011,2013,17,ROQUE SAENZ PEÑA,26,UNION,39
2011,2013,24,TOTORAL,25,TULUMBA,38
2011,2013,20,SAN JUSTO,2,CALAMUCHITA,37
2011,2013,26,UNION,21,SANTA MARIA,36
2011,2013,4,CRUZ DEL EJE,10,MINAS,36
2011,2013,8,JUAREZ CELMAN,12,PUNILLA,36
2011,2013,13,RIO CUARTO,4,CRUZ DEL EJE,35
2011,2013,6,GRAL SAN MARTIN,21,SANTA MARIA,35
2011,2013,14,RIO PRIMERO,6,GRAL SAN MARTIN,34
2011,2013,21,SANTA MARIA,14,RIO PRIMERO,34
2011,2013,3,COLON,15,RIO SECO,34
2011,2013,6,GRAL SAN MARTIN,2,CALAMUCHITA,34
2011,2013,13,RIO CUARTO,18,SAN ALBERTO,33
2011,2013,21,SANTA MARIA,6,GRAL SAN MARTIN,33
2011,2013,8,JUAREZ CELMAN,2,CALAMUCHITA,33
2011,2013,1,CAPITAL,22,SOBREMONTE,32
2011,2013,10,MINAS,3,COLON,32
2011,2013,14,RIO PRIMERO,21,SANTA MARIA,32
2011,2013,20,SAN JUSTO,26,UNION,32
2011,2013,24,TOTORAL,7,ISCHILIN,32
2011,2013,8,JUAREZ CELMAN,3,COLON,32
2011,2013,12,PUNILLA,8,JUAREZ CELMAN,31
2011,2013,25,TULUMBA,24,TOTORAL,31
2011,2013,15,RIO SECO,25,TULUMBA,30
2011,2013,17,ROQUE SAENZ PEÑA,9,MARCOS JUAREZ,30
2011,2013,18,SAN ALBERTO,13,RIO CUARTO,30
2011,2013,16,RIO SEGUNDO,8,JUAREZ CELMAN,29
2011,2013,4,CRUZ DEL EJE,21,SANTA MARIA,29
2011,2013,9,MARCOS JUAREZ,2,CALAMUCHITA,29
2011,2013,9,MARCOS JUAREZ,21,SANTA MARIA,29
2011,2013,11,POCHO,10,MINAS,28
2011,2013,17,ROQUE SAENZ PEÑA,6,GRAL SAN MARTIN,28
2011,2013,23,TERCERO ARRIBA,14,RIO PRIMERO,28
2011,2013,24,TOTORAL,14,RIO PRIMERO,28
2011,2013,3,COLON,10,MINAS,28
2011,2013,9,MARCOS JUAREZ,8,JUAREZ CELMAN,28
2011,2013,17,ROQUE SAENZ PEÑA,12,PUNILLA,27
2011,2013,4,CRUZ DEL EJE,13,RIO CUARTO,27
2011,2013,8,JUAREZ CELMAN,16,RIO SEGUNDO,27
2011,2013,9,MARCOS JUAREZ,17,ROQUE SAENZ PEÑA,27
2011,2013,14,RIO PRIMERO,23,TERCERO ARRIBA,26
2011,2013,15,RIO SECO,12,PUNILLA,26
2011,2013,17,ROQUE SAENZ PEÑA,3,COLON,26
2011,2013,19,SAN JAVIER,8,JUAREZ CELMAN,26
2011,2013,25,TULUMBA,15,RIO SECO,26
2011,2013,26,UNION,17,ROQUE SAENZ PEÑA,26
2011,2013,6,GRAL SAN MARTIN,14,RIO PRIMERO,26
2011,2013,14,RIO PRIMERO,13,RIO CUARTO,25
2011,2013,19,SAN JAVIER,20,SAN JUSTO,25
2011,2013,25,TULUMBA,12,PUNILLA,25
2011,2013,3,COLON,8,JUAREZ CELMAN,25
2011,2013,4,CRUZ DEL EJE,16,RIO SEGUNDO,25
2011,2013,4,CRUZ DEL EJE,6,GRAL SAN MARTIN,25
2011,2013,17,ROQUE SAENZ PEÑA,8,JUAREZ CELMAN,24
2011,2013,2,CALAMUCHITA,9,MARCOS JUAREZ,24
2011,2013,26,UNION,19,SAN JAVIER,24
2011,2013,4,CRUZ DEL EJE,14,RIO PRIMERO,24
2011,2013,14,RIO PRIMERO,4,CRUZ DEL EJE,23
2011,2013,18,SAN ALBERTO,21,SANTA MARIA,23
2011,2013,19,SAN JAVIER,26,UNION,23
2011,2013,20,SAN JUSTO,19,SAN JAVIER,23
2011,2013,7,ISCHILIN,6,GRAL SAN MARTIN,23
2011,2013,12,PUNILLA,10,MINAS,22
2011,2013,18,SAN ALBERTO,11,POCHO,22
2011,2013,19,SAN JAVIER,9,MARCOS JUAREZ,22
2011,2013,4,CRUZ DEL EJE,20,SAN JUSTO,22
2011,2013,5,GENERAL ROCA,3,COLON,22
2011,2013,11,POCHO,12,PUNILLA,21
2011,2013,12,PUNILLA,17,ROQUE SAENZ PEÑA,21
2011,2013,16,RIO SEGUNDO,2,CALAMUCHITA,21
2011,2013,17,ROQUE SAENZ PEÑA,23,TERCERO ARRIBA,21
2011,2013,2,CALAMUCHITA,20,SAN JUSTO,21
2011,2013,21,SANTA MARIA,9,MARCOS JUAREZ,21
2011,2013,6,GRAL SAN MARTIN,4,CRUZ DEL EJE,21
2011,2013,8,JUAREZ CELMAN,9,MARCOS JUAREZ,21
2011,2013,16,RIO SEGUNDO,4,CRUZ DEL EJE,20
