CTBRAG3G;GENNEIA S.A.
GENNEIAG;GENNEIA S.A.
PECHUB1G;GENNEIA S.A.
PECHUB3G;GENNEIA S.A.
PECHUB4G;GENNEIA S.A.
PEMADR1G;GENNEIA S.A.
PEMADR2G;GENNEIA S.A.
PERAWS3G;GENNEIA S.A.
PELOMA1G;GOLDWIND ARGENTINA S.A.
PELOMA2G;GOLDWIND ARGENTINA S.A.
PELOMA3G;GOLDWIND ARGENTINA S.A.
PELOMA6G;GOLDWIND ARGENTINA S.A.
PEMIRAMG;GOLDWIND ARGENTINA S.A.
CTGORING;GORINA ENERGIA S.A.
PEKOSTEG;GRENERGY RENOVABLES
ARCOLPTA;GRUPO ARCOR S.A.
ARCOMSXA;GRUPO ARCOR S.A.
PAPELMNA;GRUPO ARCOR S.A.
CTDIQUEG;GRUPO DESA
PEBANDEG;GRUPO FRALI S.A.
CTGARRUG;GRUPO INSUD
PSBROCHG;GRUPO NEUSS
PSBROCMG;GRUPO NEUSS
MRPLSLSA;GRUPO PEREZ COMPANC
CTBGALVG;GRUPO RICCILLO
HIDMADEG;HOLDEC INVERSORA S.A.
HRHONDOG;HOLDEC INVERSORA S.A.
HTUCUMAG;HOLDEC INVERSORA S.A.
CTAVELLG;INDUSTRIAS JUAN F. SECCO S.A.
CTCATASG;INDUSTRIAS JUAN F. SECCO S.A.
CTCERSSG;INDUSTRIAS JUAN F. SECCO S.A.
CTCGOMEG;INDUSTRIAS JUAN F. SECCO S.A.
CTCHILSG;INDUSTRIAS JUAN F. SECCO S.A.
CTCSARSG;INDUSTRIAS JUAN F. SECCO S.A.
CTENSENG;INDUSTRIAS JUAN F. SECCO S.A.
CTGOYASG;INDUSTRIAS JUAN F. SECCO S.A.
CTINTASG;INDUSTRIAS JUAN F. SECCO S.A.
CTJUARSG;INDUSTRIAS JUAN F. SECCO S.A.
CTLARISG;INDUSTRIAS JUAN F. SECCO S.A.
CTLARSSG;INDUSTRIAS JUAN F. SECCO S.A.
CTLBLASG;INDUSTRIAS JUAN F. SECCO S.A.
CTORANSG;INDUSTRIAS JUAN F. SECCO S.A.
CTPEREZG;INDUSTRIAS JUAN F. SECCO S.A.
CTPINDSG;INDUSTRIAS JUAN F. SECCO S.A.
CTRAFASG;INDUSTRIAS JUAN F. SECCO S.A.
CTREALSG;INDUSTRIAS JUAN F. SECCO S.A.
CTTERESG;INDUSTRIAS JUAN F. SECCO S.A.
CTVOCAMG;INDUSTRIAS JUAN F. SECCO S.A.
CTVTUESG;INDUSTRIAS JUAN F. SECCO S.A.
IRTABAAA;INGENIO TABACAL S.A.
CTRESENG;INMADE S.A.
PFCSGU2G;JINKO SOLAR HOLDING CO. LTD.
PAHSLOMG;LATINOAMERICANA DE ENERGIA S.A.
PFLOMITG;LATINOAMERICANA DE ENERGIA S.A.
PSLATING;LATINOAMERICANA DE ENERGIA S.A.
LEDESMYA;LEDESMA SAAI
PAHGU11G;LIUCO ENERGIA S.A.
GENCORDG;LUZ Y FUERZA - REGIONAL CÓRDOBA
CTANCHOG;METHAX S.A.
CTMMBIOG;MM BIOENERGIA S.A.
SEMINOSA;MOLINO JUAN SEMINOS S.A.
CTBARK2G;MSU Energy S.A.
CTBARKEG;MSU Energy S.A.
CTGROJ2G;MSU Energy S.A.
CTGROJOG;MSU Energy S.A.
CTVMAR2G;MSU Energy S.A.
CTVMARIG;MSU Energy S.A.
PSLOMASG;MSU Energy S.A.
CETORDIG;NACIONAL
CTLAPAZG;NACIONAL
CTMSALGG;NACIONAL
CTRIOTUG;NACIONAL
CTSSALVG;NACIONAL
NUCLEOEG;NACIONAL
PAHLUJAG;NACIONAL
YACYRETG;NACIONAL
PAHLUNLG;NAHUEN ENERGÍA S.A.
PSALTIPG;NEOEN S.A.
PSLAPUNG;NEOEN S.A.
CTPACUCG;PACUCA BIOENERGÍA S.A.
PEARAU2G;PAMPA / PROVINCIAL
PEARAUCG;PAMPA / PROVINCIAL
CPBUENAG;PAMPA ENERGÍA S.A.
CTGUEMEG;PAMPA ENERGÍA S.A.
CTGUEPLG;PAMPA ENERGÍA S.A.
CTLLATAG;PAMPA ENERGÍA S.A.
CTPBUEMG;PAMPA ENERGÍA S.A.
CTPIQUIG;PAMPA ENERGÍA S.A.
CTPPILAG;PAMPA ENERGÍA S.A.
ECOENERG;PAMPA ENERGÍA S.A.
GENELBAG;PAMPA ENERGÍA S.A.
GENELCCG;PAMPA ENERGÍA S.A.
GENELPLG;PAMPA ENERGÍA S.A.
HIDIAMAG;PAMPA ENERGÍA S.A.
HINIHUIG;PAMPA ENERGÍA S.A.
PAMPAENG;PAMPA ENERGÍA S.A.
PEPAMPAG;PAMPA ENERGÍA S.A.
PEVARA1G;PAMPA ENERGÍA S.A.
PEVARAUG;PAMPA ENERGÍA S.A.
PPLEUFUG;PAMPA ENERGÍA S.A.
PEGARAYG;PAN AMERICAN ENERGY S.R.L.
PAHRESCG;PATAGONIA ENERGIA S.A.
ACONCAGA;PETROLERA ACONCAGUA ENERGÍA
CTALVALG;PETROLERA ACONCAGUA ENERGÍA
HCERROCG;PETROLERA ACONCAGUA ENERGÍA
PEMATACG;PETROQUÍMICA COMODORO
CTPOLLOG;POLLOS SAN MATEO S.A.
PFCERROG;PROMOTORA DE ENERGÍA S.A.
CASAPIEG;PROVINCIAL
CEOJUMEG;PROVINCIAL
CHCARACG;PROVINCIAL
CHCESPEG;PROVINCIAL
CHCIPOLG;PROVINCIAL
CHJROMEG;PROVINCIAL
CHPNEGRG;PROVINCIAL
CT9JULIG;PROVINCIAL
CTGESELG;PROVINCIAL
CTPILARG;PROVINCIAL
CTRIOCHG;PROVINCIAL
CVIENTOG;PROVINCIAL
EPECORDG;PROVINCIAL
HNIHUIVG;PROVINCIAL
PAHBRIOG;PROVINCIAL
PAHCEJEG;PROVINCIAL
PFOTOSJG;PROVINCIAL
PSANCHIG;PROVINCIAL
PSCAUC1G;PROVINCIAL
PSCAUC2G;PROVINCIAL
PSCAUC3G;PROVINCIAL
PSPASIPG;PROVINCIAL
QULLUMJG;PROVINCIAL
SALANDEG;PROVINCIAL
PE3PICOG;RIVADAVIA S.A.
PEBICE1G;RIVADAVIA S.A.
PEBICE2G;RIVADAVIA S.A.
PEVINECG;SAE ENERGY
CTPERGAG;SEEDS ENERGY S.A.
CTVENADG;SEEDS ENERGY S.A.
SHELDSCA;SHELL CAPSA
CHSGUILG;SIEyE
